# This file contains 'Interaction Scores' generated by rec-YnH score function
DB(Read 1) \ AD(Read 2)	"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"DDX39A"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.395781	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.931153	0.000000	1.306093	2.344339	0.000000	0.796062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.089521	0.000000	0.000000	2.219210	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.755357	1.438423	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"DMRTB1"	0.000000	0.000000	2.526260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.222083	1.728687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.913489	0.000000	1.817479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.902301	2.842247	0.000000	5.414700	9.966881	0.000000	3.099958	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.382902	2.160723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.672438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"EIF4EBP2"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.628527	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.104321	0.000000	0.000000	3.455376	0.000000	1.485416	0.000000	1.400805	0.000000	0.000000	0.000000	0.000000	3.716976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.108264	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.455376	0.000000	0.000000	2.140938	0.000000	0.000000	0.000000	3.455376	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"EXOSC1"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.755357	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.846796	0.000000	0.000000	5.755357	4.222845	0.000000	0.000000	0.000000	0.000000	0.000000	2.162391	3.833335	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.752184	0.000000	0.000000	0.000000	8.731797	0.000000	0.000000	0.000000	0.000000	0.000000	3.012392	0.000000	0.000000	2.322311	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"EXOSC5"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.664493	0.000000	0.000000	0.000000	2.813081	0.000000	0.000000	0.000000	0.000000	2.206863	0.000000	4.450591	0.000000	2.649468	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.067366	0.000000	0.000000	0.000000	5.787917	1.430462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.756955	3.029482	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.285414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"FHL3"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"GAA"	0.000000	0.000000	2.615175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.763097	0.000000	0.000000	0.000000	0.000000	3.610613	2.803531	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.198143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.344339	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.429144	0.000000	0.000000	0.000000	1.540513	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"IGF2"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.822111	1.166167	0.000000	1.422921	0.000000	0.000000	0.000000	0.000000	0.000000	3.662646	0.000000	0.000000	0.000000	0.000000	0.518027	1.166167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.166167	0.000000	0.000000	0.305251	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.199113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.120168	1.199113	0.000000	0.000000	0.732729	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"IKZF1"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.399863	0.000000	0.995009	2.076429	0.000000	0.000000	0.000000	0.000000	2.169095	0.000000	0.000000	4.399863	0.000000	0.000000	0.000000	0.000000	1.082177	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.439091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.845536	0.000000	0.000000	1.640091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.758276	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"IKZF5"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.032206	0.000000	0.000000	8.821789	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.650840	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.440026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.379111	0.000000	0.000000	0.000000	0.000000	5.677147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
