"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"DDX39A"	0.610756513624727	0	0	0	0	0	1.21777957261025	0.671360556467611	0	0	0	0	1.07507081135228	0.297886579538808	0.139473599739779	0	0	1.01604619404847	0	0.547131228850815	0.860707827021296	0	0.586990636137699	0.848424963421916	0.781673524347364	0.278826426306789	0.436768699130577	0.143062209860659	3.24574846190861	0	0	0.39173788443096	0.45992653010224	0	0.771580108715163	0.316435812763914	1.29456153418963	0.185623577003853	0	0	0	0.771580108715164	0	0.207702786450613	0.70775302264239	0	0	0	0.607679521407223	0	0	0	0	0.3572504122497	0	0.455326526155928	0	0	0	0.513697647900014	0	0.83649735627402	0.513117403097227	0.253364027189725	0	0.345105663983742	0	0.675889830362086	0	1.45608550351733	5.19885176372819	0.94893374612951	0	0	0	0.13697483891863	0.598634418494989	0
"DMRTB1"	0.975465997274436	0	1.24897791271677	0	0	0	0	0	0	0	0	1.23798830305737	2.33866974082975	0	0	1.51198885602201	0	0	8.28605378115115	0	2.80394605809965	0	0	0	1.46354839401558	1.74212846464674	0	0.81923821584119	0	0	0	0.65255556570322	1.24897791271677	0	0.898618858372309	0.925430787084073	1.04652679651473	0.811632517970065	0	0	0	1.55808679576585	0	0	2.16443906596954	0	1.35372114891343	2.28961664285035	6.20913510453694	1.05682660608545	0	7.5521661909713	9.12051996291546	1.0216701882724	1.58849801106192	0.539588858993286	0	0	0	0	2.13157853351059	2.2020002235265	1.03146373951531	0	0	0	0	1.67406891021418	0	0	0	0.750457831130635	0	0	0	0.449100585861842	0	0
"EIF4EBP2"	0	0	0	0	0	0	0	0.323169279341089	0	0	0	0	0.833181634378562	0.571303754851048	0	0.618267525016537	0	0	0	1.56268214641625	1.44814017942851	1.18014033251947	0.615289024278648	1.43079182595096	1.33541310624079	2.40354045069261	0.806565761097154	0.527767106099025	0	0	0	0	2.88040169495679	0	0	0	0	0	0	0	5.52175997806961	0.458929475247151	0	0	1.22747589532906	0	0	0	1.68678586782191	1.16890193208752	0	0	0	0	0	0.335775768511217	0	0	0	0.24027778853981	2.29515007955279	1.41388649522812	0.38031725211784	0.492335384112857	0	0	1.60542063511226	1.18014033251947	0	2.23079039610415	0	0	0	0	0	0.276196517128958	0	0
"EXOSC1"	0	0	0	0	0	1.90606243373419	3.20844607920413	0	0	0	0	0.365114746987556	2.15081425445873	0	0	0	0	1.37246010581756	0	0	1.82231208461655	5.10595462001493	0	0	5.41717843371201	3.31437261082366	0	0	0	0	0	0.978070173508079	2.17046426827497	0	0	0	0.928580348182318	0	2.62583616688485	0.692730464906137	0	0	0	0	0	1.67729551728542	0	0	2.9094692561528	0	0	0	6.8335772400351	0.905726812466539	0	0	0	0	0.999435395746946	0.340187115865257	3.26332875745376	2.01904869950491	0	0	0	0	0	0	0	2.20589552166027	3.89567715495612	0.658549060652324	0	0	0	0.947740969082858	1.37781669432658	0
"EXOSC5"	0	0	0	0	0	0	1.6859677347822	0	0	0	0.620671489326491	0.207816401034694	1.51156002961651	0	0	0.508319795866415	2.13064802426658	1.43825396643437	0	0	2.69122437237863	3.90616915253633	0.505782526688797	5.69706187732036	0	2.5831096868186	1.47199338509424	0.231867033613798	0	0	0	0	1.17374407703203	0	0.83872294969369	0	0	0.156817509096522	2.37134514846823	0	0	0	0	0	1.0420376210514	0	0	0	3.00154817389468	0	0	3.54155142843761	3.47734369596109	0.955977544392013	0	0.271289655081102	1.9843154394966	0	0	0.36304429473781	3.89567715495612	3.56576920374842	0.56194177384295	0	3.47734369596109	0	1.38558124483039	2.32130973720175	0	2.28934081239053	0	0	0	0	0	0	0.516088327036759	0
"FHL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GAA"	0	0	1.18801597198923	6.19434608126787	0	0	0	0.931991809514759	0	0	0	0	0.957631829213991	0.665066836670707	0	1.19522549474618	0	1.85227538122227	0	0	1.62458432353005	2.01861130839755	0.714651812642051	0	0	0.861289393564686	0	0	4.50263255521592	0	0	0	0.969965670015692	0	0.679792695697177	0	0.800811104842075	0.233045583390772	0	0	0	0.537477149187048	0	0	1.38795276146294	0	0	0	0	0	0	2.68194080162114	0	0.780316886627809	1.26182172342591	0	0	0	0	0	0	2.00343953112191	0	0	0	0.427653040586112	0	1.71762788049118	0	2.44691300963766	0	0	0	0	0	0.326914633260245	0.728250206732691	0
"IGF2"	0.277047081777154	0	0	0	1.06201140850337	0.774095889573123	0	0.13120930826488	0	0	0	0.456400607364503	0.917768762297076	0	0.724525614392081	0.266505752734924	0	0.496381210579686	6.11210228149955	0.454698492386124	1.56875237702089	1.95623464055495	0	0	0.254079245520239	0.598226306114149	0.649012424748667	0	0	0	0	0.170328827717718	0	0	0.250191289167637	0.135552575978285	0.552796994717764	0.412433377041388	1.22446803905026	0	0	0.191592468449527	0	0	0.593345418574196	1.09503917779681	0	0	0.5067143274343	0	0	2.14030961428913	0	0.293644610549197	0	0	0	0	0	0	1.31149464336255	1.36627466814664	0.425614282698795	0	0	0.148677841576022	0.827554194066217	0.565674948149232	0	0.552796994717764	0	0	0	0	0	0.111049075566292	0	0
"IKZF1"	0	0	0	4.56826178106482	0	0	2.39525700063446	0	0	2.74005199380596	1.02353849192045	0.200185041549044	0.671559845472124	0	0.407275091234065	0	0	0.8650013089812	0	1.31149464336255	2.30245397484266	0	0	0	0.470040919071341	0.598226306114149	0	0.22341899622757	3.8712784731267	0	0	0.586173640599189	0.681031893515075	0	0.463339548459165	0.479286371888171	0.552796994717764	0.825514695262136	0	0	0	0.360698242327882	0	0	0	0.649012424748667	0	0	0.880976465712297	0	0	2.14030961428913	0	0.53751053779538	0	1.25776594788012	0	0	0	0	1.98694635314904	0.96112248086632	0	0.693261781528151	3.42475569347652	0	0	0.565674948149232	0	0	5.67895939600314	0	0	0	0	0	0	6.11210228149955
"IKZF5"	0	0	0.250223554405433	0	0	0	0	0.237979586594297	0	0	0	0.356555642145219	0.639966451147065	0	0	0	0	0.826630555732981	0	0	1.1600723038548	0	0	0	0	0.569439937643952	0	0.395608209126538	8.33099945029458	5.04883963899731	0	0	0	5.04883963899731	0.776840344670838	0.638471811802949	0.910350871364157	0.391403018100026	0	0	0	0.618267525016537	0	0	0	1.04967358351897	0	0	1.37031841910117	0	0	2.07388338868567	0	0	0	0	0	0	0	0	0	1.47686676775136	0	0	0	0.494610866945153	0	1.2365941938833	0	1.4641481216202	5.25438826077762	0.883452955284992	0	0	0	0.20252790193923	0	0
