"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"DMRTB1"	1.48042863523215	0	0	0	0.958268371585751	0	0	0.558513420211969	0	0	0	0	0	0	0.475647771759203	0	0	1.54535161492533	0	0	0	0	0	0	0	0.637017217452767	0	0.720748317060697	0	0	0	0	0	0	0	0	0	0.432631616864857	0	0	0	0	0	0	0	0	0.947912897470315	0	4.84349891814682	0.332262783261291	0	6.79867576126541	7.57087365531269	0	0	0	0	0	1.28263803685101	0.169044377695143	2.19783714533461	0.424495463581987	0	0	0	0	0	0	0	1.31087285624237	0	0.603303935713846	0	0	0	0	0	0
"EIF4EBP2"	0	0	0	0	0.801133679060302	0	0	0.0656117935588409	0.14181528822303	1.96185752880791	0.264338949565542	0.32999473627187	2.89577483400268	0.251064952233812	0.469235810132641	0.267736857662752	0	0	0	0	1.12557886871136	1.40567157264279	0	0	0	4.75521108683408	0.396035786063928	0.467470111421229	0	0	0	0	5.07324631723041	0	0.173927347783818	0.253269181185205	0.208046682809384	0.755608596177378	0.607206773102714	0	0	0.0935288704277462	0	0.422587142398975	0.285151585903502	0.14836852811589	0	0	0	0.140070397402084	0	0	0	0.442505845405527	0.163479108655229	0.153837202237272	0	0	0	0.134721070684774	0.770830561360877	0.854461261943299	0.200704465478394	0.353364676161554	0	0.181099309131222	0	2.80707141635103	0	0	0	0	0	0	0	0	0	0
"EXOSC1"	0.275989644384921	0	0	0	0	0.729292140286472	1.66236147534155	0.152301002817376	0.168111468979127	0	0	0.206333284860017	1.69504311237819	0.933367182240091	0	0.314965865079206	0	0.928878141939739	0	0	0	4.0693422625474	1.23904628823097	0	5.63316393915157	4.88268246662577	0.462524208151697	0.204921012187339	0	0	0	0.296229210454533	1.72950145524348	0	0.385814371067376	0.467469370792311	0	0.579325948814039	0	0	0	0	0	0.267352784660715	0	0	0.285477417618044	0	0.568932216725809	0.314965865079206	0	2.08678828286955	5.3432240550819	0	0	0.418548014765652	0	0	0	0.0820972289168953	2.13094614005688	1.19480189225784	0.237055716637686	0.221608159588431	0	0	0	2.39318359452423	0	1.45622777702019	2.41432077052509	0.166430280795985	0	0	0	0	0.614441430364989	0
"EXOSC5"	0	0	0.351556868657712	0	0	0	0	0.0480205861743376	0	0	0.196949489460738	0.128921069448849	1.49264970518544	0	0.291226027772006	0	3.52751926679529	0.631778682342113	0	0	1.19508434749	3.90666743886912	0.412331950532414	5.5179206121395	0	4.57841346746521	0	0	0	0	0	0.636259507622935	1.93215429202853	0	0.551884571742778	0.456543891970088	0.537399214113094	0.263375516517465	3.0413369492872	0.171692410481523	0	0.791436005960658	0	0	1.07913677295124	0.395238034443962	0.340347105071159	0	1.12142599788078	0	0	0	2.81107026016315	1.03171629945733	0.335523336523567	0.36343016690803	0	0	0.269225653877873	0	2.94083725818855	4.23497818390134	0.40677524204881	0.0710361532738434	0	0	0.706548470204995	4.49147702916575	0	1.31284970478179	1.21191459184356	0.604436068503236	0	0	0	0.420261676030762	0	0
"FHL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GAA"	0	0	0.32587818938341	0	0.802430006191595	0	0	0.552148833234624	0.271450514556423	0	0.852829241589841	0	0	0	0.20673668116867	0	0	1.32995708708806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01946355921729	0	0	0.633976743903981	1.63117148850087	0	0	0	0	0.227153878599887	1.06694797709316	0	0	1.30045342906804	1.38933360857655	0	0	0	0	0	0.310893586321141	0	0	0	0	0.258427334821815	0	0.344748318526882	0.201099704969773	0.761545205521557	0	0	0	1.22394144003959	0	0	0	0	0	0	0	0	0	0
"IGF2"	0	0	0	0	0.354038436840203	0.497657436468528	0	0	0.207612765198342	0	0.202456088372032	0.566946397697735	0	0.513230116243289	0.157291519753407	0	0	0	0	0	0.528814318839918	0	0	0.812934864216263	0.675449005489746	0.316837436778267	0	0	0	0	1.89211928748469	0.192479970959478	0.446341580076911	0	0.253367166958041	0.253024908263582	0.550782621720311	0.38893776342177	0	0.0909661583381187	0	0.26389887088506	0	0.0891517850760591	0	0	0	0	0.3815188889702	0.205114094530576	0	0	2.03534270214125	0	0.124187762067126	0	0	0	0.276567120040252	0.197445740531276	0.612712821473679	1.0065078379026	0.41735892274304	0	0	0.379194334821168	0	0.736226442496857	0	0	0	0.298312824318932	0	0	0	0.0700565254733592	0	0
"IKZF1"	0.300074471777718	0	0	0	0	0	1.75475861123434	0.166208383623465	0.183373069258514	0	0	0	1.06403477637015	0	0	0	2.5848098654701	0	0	0	1.35096307946067	0.783605328539008	0	0	0	0.193302464204971	0	0	0	0	0	0	0	0	0	0	0.492715808142627	0.444969512070691	0	0	0	0.975794383857718	0	0	0.516150396909242	0.512358155618821	0	0	0.613687459534636	0	0	0	0	0	0	0.373285487994005	0	0	0	0	0	0.234773215754543	0	0	0	0	0	0.906559133734184	0	0	5.52729781310825	0	0	0	0	0.231788488251003	0.196072400519796	0
"IKZF5"	0.385180277293187	0	0	0	0	0	1.3626412852845	0.0571441448543697	0	0	0	0.223279952035065	0	0	0.0932306840727813	0	0	0	0	0	0	0	0	0	0.758781693313544	1.15932098189548	0	0.288702124385281	5.58936395590264	0	0	0.114651466870796	0.50614370631327	0	0.531111687469051	0.0779926679434192	0.344157558977082	0.162916130092753	0	0.202724035142609	3.55782428696056	1.45671493355917	0	0	0.130781150145675	0	0	0.708323869997258	0	0	0	0	0	0.699042487575662	0.142990432159267	0	0	0	0	0.117690793014543	0	0.664268771907577	0.0905911639079177	0.164146070384647	0	0.231695367336049	0	1.10940413677338	0	0.325543519202925	4.87223771589199	0	0	0	0	0.0808919695287751	0	0
"KLF3"	0	0	0.270707688618727	0	0.6834428293769	0	0	0.105609441798214	0	0	0	0.274718517393164	0.421399342572409	0	0	0	0	1.15899128164476	7.7394069395194	0	0.974236750206811	0	0	0	0.519670945767074	3.67488759411933	0	0	0	0	0	0.208490467021925	1.57283178117777	0	0.877003755707683	0.143283214325102	0.59112005529414	0.29244842321388	0.890793254190382	0	0	1.20908999141102	0	0.187615680297853	0.236780716625901	0	0	0	1.57461251628906	0	0	0	5.11939994780901	1.11893862650046	0	0.126757579628227	0	0	0.546341857768525	0	2.48832630405342	1.06983765068243	0	0.294561193866759	0	0	1.93957586253967	1.49223959599997	0	0.561523560676562	4.43820274385839	0	0	0	0	0.519670945767074	0.240123520154482	0
"LSM2"	0	0	0	0	0.7548636215247	0	0	0	0.131775395521248	0	0	0	0.469732619676922	0.233894051483773	0	0	0.770248416270475	0	0	0	0	0.593666819277291	0	0	0	0.382418698646472	0.37015101543377	0	0	0	0	0	1.0842370552551	0	0	0.161513456165121	0	0	0.570019431421626	0	0	0.168682078737861	0	0.395193809721834	0.139043938023489	0.767268687263086	0	0	1.08565451685452	0	0	0	0	0	0	0	0	0	0.334739997090342	0.0639378392495623	1.20656426688151	0	0.0963989279249906	0	0	0.0866752433055231	0	0.866201066088573	0.952543629911385	0	0	0	0	0	0	0	0	0
"LSM3"	0.351886837451817	0	0	0	0	0.896778185282205	1.9400158096609	0	0.720461105741177	0	0.705284656957489	0	1.39449004631229	0	0	0.713120510497465	0	0	0	1.00898600758725	0.945906936662411	0	0.439882725458532	0	0	1.76475004913704	0	0.485368504520853	0	0	0	1.31800425989424	0	0	0	0	0	0.281926476626097	1.79122958991445	0	0	0.395051961797548	0	0	0.425022057343057	0	0.363671541901124	1.71754011184424	2.05900691990129	0	0	3.7831363724953	2.90396311723104	1.08777549685114	0	0.121943672743003	3.17162816018857	0	0.528216452032071	0.106645187415785	0	0.50819113552794	0	0	4.35433860029242	0	0	1.78157716965714	0	0.936564165875862	0	0	0	0	0	0	0	0
"MME"	0	0	0	0	0	0	0	0	0	0	0	0.220295103571294	1.04766846204838	0	0.259883798181319	0	0	0	0	0	0	0	0	0	0.75025101993144	1.92810843794004	0	0	0	0	0	0	0.697139296175478	0	0	0.577952181184004	0	0	0	0	0	0.895176883776514	0	0	0	0	0	0	1.62049672485883	0.335467623308461	0	0	0	0.942353819124557	0	0.784324827298575	0	0	0	0	0	0.42846560702462	0	0.776183254531391	0	0	2.4491226288667	1.71446933653565	0	0	0	0.336171733724548	0	0	0	0.596042167471439	0.650499190635528	0
